Sp_Name,SpName,id,order,family,subfamily,tribe,genus,specificEpithet,CMW_sciName,MSW3_sciName,SynonymUsedMDD,X,tiplabel,gen,fam,ord,clade,higher,MSW3_sciName_matched,genes,extinct.,samp,PC,SynonymMatched,Phylo_Name,PhyloName
Tamias_merriami,Tamias merriami,1001745,RODENTIA,SCIURIDAE,XERINAE,TAMIINI,Neotamias,merriami,Neotamias merriami,Neotamias merriami,Neotamias merriami,340,Tamias_merriami_SCIURIDAE_RODENTIA,Tamias,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Tamias_merriami,1,0,sampled,PC13_SquirrelRelated,NA,Tamias_merriami,Tamias merriami
Tamias_minimus,Tamias minimus,1001746,RODENTIA,SCIURIDAE,XERINAE,TAMIINI,Neotamias,minimus,Neotamias minimus,Neotamias minimus,Neotamias minimus,341,Tamias_minimus_SCIURIDAE_RODENTIA,Tamias,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Tamias_minimus,2,0,sampled,PC13_SquirrelRelated,NA,Tamias_minimus,Tamias minimus
Tamias_panamintinus,Tamias panamintinus,1001750,RODENTIA,SCIURIDAE,XERINAE,TAMIINI,Neotamias,panamintinus,Neotamias panamintinus,Neotamias panamintinus,Neotamias panamintinus,342,Tamias_panamintinus_SCIURIDAE_RODENTIA,Tamias,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Tamias_panamintinus,1,0,sampled,PC13_SquirrelRelated,NA,Tamias_panamintinus,Tamias panamintinus
Tamias_quadrimaculatus,Tamias quadrimaculatus,1001751,RODENTIA,SCIURIDAE,XERINAE,TAMIINI,Neotamias,quadrimaculatus,Neotamias quadrimaculatus,Neotamias quadrimaculatus,Neotamias quadrimaculatus,343,Tamias_quadrimaculatus_SCIURIDAE_RODENTIA,Tamias,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Tamias_quadrimaculatus,1,0,sampled,PC13_SquirrelRelated,NA,Tamias_quadrimaculatus,Tamias quadrimaculatus
Tamias_rufus,Tamias rufus,1001754,RODENTIA,SCIURIDAE,XERINAE,TAMIINI,Neotamias,rufus,Neotamias rufus,Neotamias rufus,Neotamias rufus,344,Tamias_rufus_SCIURIDAE_RODENTIA,Tamias,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Tamias_rufus,1,0,sampled,PC13_SquirrelRelated,NA,Tamias_rufus,Tamias rufus
Tamias_senex,Tamias senex,1001755,RODENTIA,SCIURIDAE,XERINAE,TAMIINI,Neotamias,senex,Neotamias senex,Neotamias senex,Neotamias senex,345,Tamias_senex_SCIURIDAE_RODENTIA,Tamias,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Tamias_senex,2,0,sampled,PC13_SquirrelRelated,NA,Tamias_senex,Tamias senex
Tamias_sibiricus,Tamias sibiricus,1001719,RODENTIA,SCIURIDAE,XERINAE,TAMIINI,Eutamias,sibiricus,Eutamias sibiricus,Eutamias sibiricus,Eutamias sibiricus,346,Tamias_sibiricus_SCIURIDAE_RODENTIA,Tamias,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Tamias_sibiricus,8,0,sampled,PC13_SquirrelRelated,NA,Tamias_sibiricus,Tamias sibiricus
Tamias_speciosus,Tamias speciosus,1001759,RODENTIA,SCIURIDAE,XERINAE,TAMIINI,Neotamias,speciosus,Neotamias speciosus,Neotamias speciosus,Neotamias speciosus,347,Tamias_speciosus_SCIURIDAE_RODENTIA,Tamias,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Tamias_speciosus,1,0,sampled,PC13_SquirrelRelated,NA,Tamias_speciosus,Tamias speciosus
Tamias_striatus,Tamias striatus,1001785,RODENTIA,SCIURIDAE,XERINAE,TAMIINI,Tamias,striatus,Tamias striatus,Tamias striatus,NA,348,Tamias_striatus_SCIURIDAE_RODENTIA,Tamias,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Tamias_striatus,28,0,sampled,PC13_SquirrelRelated,NA,Tamias_striatus,Tamias striatus
Tamias_umbrinus,Tamias umbrinus,1001761,RODENTIA,SCIURIDAE,XERINAE,TAMIINI,Neotamias,umbrinus,Neotamias umbrinus,Neotamias umbrinus,Neotamias umbrinus,349,Tamias_umbrinus_SCIURIDAE_RODENTIA,Tamias,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Tamias_umbrinus,1,0,sampled,PC13_SquirrelRelated,NA,Tamias_umbrinus,Tamias umbrinus
